name,sku,category,description,technical_specs,certifications,moq,pricing,lead_time_days
304不锈钢真空保温杯750ml,QB-B750,household,食品级304不锈钢，双层真空结构，容量750ml，保温保冷，适合户外运动及日常使用。,容量: 750ml ; 材质: 304不锈钢 ; 结构: 双层真空 ; 口径: 53mm,FDA LFGB,500,FOB 深圳 3.5美元/个,15
316不锈钢保温瓶1000ml,QB-B1000,household,医用级316不锈钢内胆，大容量1000ml，适合露营与长途出行。,容量: 1000ml ; 材质: 316不锈钢 ; 结构: 双层真空,FDA SGS,300,FOB 深圳 4.8美元/个,20
钛合金户外水壶500ml,QB-T500,outdoor,纯钛材质，超轻耐腐蚀，容量500ml，适合登山徒步。,容量: 500ml ; 材质: 纯钛 ; 重量: 150g,FDA,200,FOB 深圳 8.5美元/个,25
LED玉米灯E27 15W,LED-CORN15,lighting,E27螺口玉米灯，功率15W，高亮节能，用于商业与家用照明。,功率: 15W ; 灯头: E27 ; 色温: 6000K ; 电压: 220V,CE RoHS,1000,FOB 深圳 0.8美元/个,10
LED投光灯100W,LED-FLOOD100,lighting,100W大功率投光灯，IP65防水，用于户外与工厂照明。,功率: 100W ; 防护: IP65 ; 色温: 6500K ; 电压: 220V,CE RoHS,200,FOB 深圳 12美元/个,15
LED面板灯600x600mm 40W,LED-PANEL40,lighting,600x600毫米面板灯，40W，用于办公室与商业空间。,尺寸: 600x600mm ; 功率: 40W ; 色温: 4000K,CE RoHS,300,FOB 深圳 9美元/个,12
小型数控车床CK6132,MC-LATHE6132,machinery,小型数控车床，适合金属零件加工，精度高。,型号: CK6132 ; 最大回转直径: 320mm ; 主轴转速: 2000rpm,CE ISO9001,1,FOB 上海 12000美元/台,45
液压剪板机QC12Y-4x2500,MC-SHEAR42500,machinery,液压剪板机，可剪4mm钢板，宽度2500mm。,型号: QC12Y-4x2500 ; 剪板厚度: 4mm ; 剪板宽度: 2500mm,CE ISO9001,1,FOB 上海 15000美元/台,50
塑料注射成型机160T,MC-IMM160,machinery,160吨注塑机，用于塑料制品生产。,锁模力: 160T ; 螺杆直径: 60mm ; 射出量: 500g,CE ISO9001,1,FOB 宁波 38000美元/台,60
纯棉T恤180g,TX-TEE180,textiles,180克纯棉T恤，舒适透气，可定制印花。,面料: 纯棉 ; 克重: 180g ; 尺码: S-XXL,OEKO-TEX,500,FOB 广州 2.2美元/件,20
涤纶帐篷面料210D,TX-TENT210D,textiles,210D涤纶牛津布，防水涂层，用于帐篷与户外装备。,规格: 210D ; 材质: 涤纶 ; 涂层: PU防水,SGS,1000,FOB 广州 1.5美元/米,15
牛津布折叠收纳箱,TX-BOX50,textiles,牛津布折叠收纳箱，带钢架支撑，家用整理。,材质: 牛津布 ; 尺寸: 50x40x30cm ; 承重: 30kg,,300,FOB 广州 4美元/个,18
北欧实木餐桌,FU-TABLE1400,furniture,北欧风实木餐桌，橡胶木材质，简约耐用。,材质: 橡胶木 ; 尺寸: 1400x800x750mm ; 可坐: 6人,FSC,50,FOB 佛山 180美元/张,30
人体工学办公椅,FU-CHAIR,家具,人体工学办公椅，可调节腰托，网布透气。,材质: 网布+铝合金 ; 升降: 气杆 ; 承重: 150kg,BIFMA,100,FOB 佛山 55美元/把,25
折叠沙发床,FU-SOFABED,furniture,折叠沙发床，展开可成床，适合小户型。,展开尺寸: 1800x1200mm ; 面料: 亚麻 ; 承重: 200kg,,80,FOB 佛山 120美元/张,28
五层瓦楞纸箱,PK-CARTON5,packaging,五层瓦楞纸箱，抗压强度高，用于出口运输包装。,层数: 五层 ; 楞型: BC楞 ; 承重: 50kg,ISO9001,1000,FOB 东莞 0.6美元/个,7
食品级牛皮纸袋,PK-KRAFT5,packaging,食品级牛皮纸袋，可降解，用于食品外包装。,材质: 牛皮纸 ; 克重: 120g ; 容量: 5kg,FDA,2000,FOB 东莞 0.15美元/个,7
气泡膜包装卷,PK-BUBBLE50,packaging,气泡膜包装卷，用于易碎品缓冲包装。,宽度: 50cm ; 长度: 100m ; 泡径: 10mm,,500,FOB 东莞 8美元/卷,5
陶瓷配方汽车刹车片,AP-BRAKECER,auto_parts,陶瓷配方刹车片，低噪音耐磨，适用于乘用车。,材质: 陶瓷配方 ; 适用: 乘用车 ; 摩擦系数: 0.42,ECE R90,1000,FOB 重庆 6美元/套,20
LED汽车大灯H4,AP-H4LED,auto_parts,LED汽车大灯H4，高亮聚光，适用于多款车型。,型号: H4 ; 功率: 50W ; 亮度: 10000LM ; 电压: 12V,E-mark CE,500,FOB 重庆 15美元/对,15
汽车空气滤清器,AP-AIRFILTER,auto_parts,汽车空气滤清器，高效过滤，延长发动机寿命。,材质: 无纺布 ; 适用: 通用型 ; 过滤效率: 99%,ISO9001,800,FOB 重庆 2.5美元/个,10
304不锈钢螺丝套装,HW-SCREW304,hardware,304不锈钢螺丝套装，多种规格，防锈耐腐蚀。,材质: 304不锈钢 ; 规格: M3-M8 ; 数量: 200件,RoHS,500,FOB 深圳 3美元/套,10
电动角磨机850W,TL-GRIND850,tools,850W电动角磨机，用于切割打磨金属。,功率: 850W ; 磨片直径: 100mm ; 转速: 11000rpm,CE,200,FOB 宁波 18美元/台,15
铝合金强光手电筒,TL-TORCH3000,tools,铝合金强光手电筒，可充电，适合户外照明。,材质: 铝合金 ; 亮度: 3000LM ; 电池: 18650,CE RoHS,500,FOB 深圳 7美元/个,12
